login_hour,session_duration,request_frequency,failed_login_count,packet_size_avg,bytes_transferred,port_number,protocol_encoded,device_trust_score
15,23.64,18.22,0,716.91,3.33,443,0,91.13
13,23.2,21.95,0,532.73,3.39,443,0,93.67
16,3.07,19.03,0,412.24,2.66,8080,0,86.96
20,25.05,26.1,0,572.91,4.21,80,0,92.55
13,40.99,36.97,0,928.49,20.53,443,0,94.72
13,10.89,17.29,0,545.69,7.04,443,0,92.0
20,45.73,35.01,0,731.95,2.75,443,0,76.55
17,37.32,17.18,0,1189.34,4.85,443,0,91.72
12,18.99,16.52,0,790.17,1.12,443,0,100.0
16,27.88,33.19,0,868.51,23.44,443,0,92.41
12,53.97,34.22,0,610.79,5.25,443,0,91.37
12,41.0,33.51,0,1232.69,39.32,443,0,100.0
14,30.13,11.84,0,691.74,4.27,443,0,82.54
6,26.43,20.34,0,754.38,18.1,22,0,98.9
7,31.15,33.23,0,1063.41,2.96,22,1,84.7
11,22.32,25.42,0,763.65,0.79,443,0,100.0
9,1.57,14.26,0,809.58,0.32,443,0,97.98
15,60.63,29.58,0,743.66,9.32,443,0,85.88
10,32.33,17.85,0,745.03,3.73,80,0,87.34
8,35.97,42.95,0,874.1,5.86,8080,0,99.78
19,29.13,40.45,0,910.59,17.07,80,0,71.45
13,18.97,31.04,0,671.35,2.85,443,0,85.58
14,27.21,38.61,0,646.78,3.69,443,0,96.2
8,6.01,25.65,0,678.17,18.67,443,0,86.92
11,64.16,32.65,0,519.75,6.79,443,0,91.35
14,11.48,39.78,0,481.91,17.58,443,1,69.59
9,14.52,27.45,0,859.43,4.69,443,0,81.46
15,23.4,22.45,0,987.72,5.08,80,0,96.79
11,49.32,7.95,0,974.21,1.83,80,0,82.49
12,30.22,24.17,0,323.6,24.81,443,0,76.98
11,11.46,33.23,0,750.99,22.71,22,0,100.0
21,48.82,34.46,0,579.58,41.49,443,0,95.16
13,40.97,30.04,0,828.75,5.15,22,0,79.11
9,38.08,19.59,1,716.44,17.07,22,0,91.39
17,40.74,5.23,0,918.38,5.36,443,0,79.44
9,65.92,20.05,0,796.17,6.06,443,0,88.48
14,62.78,21.96,0,420.8,17.72,443,0,91.76
6,19.7,21.87,0,606.58,1.95,80,0,81.92
8,54.36,31.19,0,801.16,2.49,443,0,97.42
14,35.75,44.86,0,818.02,3.78,22,0,98.97
16,37.49,26.24,1,518.86,15.52,443,0,92.64
14,4.62,22.83,0,492.71,4.66,443,1,94.14
13,27.44,22.41,1,811.25,4.43,8080,0,75.47
12,17.81,26.24,0,519.27,67.39,443,0,100.0
8,42.42,16.72,0,466.27,4.84,443,1,89.09
11,46.07,26.2,0,710.97,2.85,443,1,80.65
12,1.12,29.51,0,702.31,9.76,443,0,91.46
18,29.67,27.1,0,624.32,16.19,443,1,97.45
15,46.83,29.58,1,659.25,0.72,443,0,95.12
6,27.2,29.34,0,802.77,9.65,443,0,79.15
15,40.94,7.28,0,655.97,0.36,80,0,97.58
12,35.27,31.37,0,814.14,7.47,443,0,89.39
11,35.12,18.29,0,723.91,2.97,80,0,95.01
16,25.93,14.04,0,833.53,3.66,443,0,81.98
18,11.75,13.96,0,975.64,6.29,443,0,100.0
17,13.18,29.34,0,967.85,26.19,443,0,91.83
10,40.64,22.77,0,1057.64,12.4,443,0,100.0
12,30.29,8.18,0,967.63,27.62,443,0,74.65
15,27.92,29.78,0,847.71,10.79,443,1,75.99
17,23.64,10.6,0,713.31,0.07,8080,0,87.6
12,25.42,26.4,0,722.45,3.09,443,0,100.0
13,45.7,27.38,0,624.44,23.62,443,0,100.0
9,24.97,33.86,2,800.91,10.31,443,0,81.12
9,9.88,42.82,1,939.48,39.98,80,1,90.53
17,41.15,11.35,0,654.87,1.7,443,0,91.55
19,26.93,24.48,3,792.56,3.52,80,0,97.18
13,30.47,22.24,0,664.53,4.5,443,0,98.85
18,54.11,29.34,0,841.87,3.95,443,1,78.86
15,29.69,27.16,0,690.12,2.9,443,1,90.65
11,34.34,21.47,1,652.1,5.86,80,0,69.91
15,12.32,20.59,0,664.01,10.28,443,0,98.11
20,26.7,13.84,0,900.67,3.73,443,0,86.61
13,39.14,34.88,0,780.65,0.83,443,0,77.95
20,6.67,29.59,0,714.32,12.33,443,0,93.33
3,33.01,34.18,0,852.28,6.14,443,0,86.3
17,31.51,21.9,0,717.1,8.13,443,0,100.0
14,30.62,18.43,0,1025.3,6.08,443,1,81.07
12,45.56,14.22,0,605.23,22.11,8080,0,100.0
14,35.02,28.59,0,762.61,8.18,443,1,98.55
6,52.17,14.6,0,519.05,25.68,443,0,100.0
13,15.1,43.49,0,730.63,7.15,443,0,79.71
15,32.04,11.92,0,464.07,3.46,80,0,100.0
19,31.27,27.74,0,949.26,4.39,443,1,77.87
11,13.96,40.67,0,953.3,7.38,443,0,87.9
10,44.34,30.99,0,956.83,7.55,443,0,100.0
11,64.87,26.76,0,805.77,11.63,443,0,95.07
17,29.74,15.32,1,624.03,2.54,443,0,77.61
15,37.58,11.18,0,639.93,10.75,443,0,100.0
11,31.27,32.7,0,1106.03,15.08,443,0,93.4
16,19.3,40.06,0,1087.14,11.29,80,0,85.84
14,2.69,20.61,0,824.51,6.57,80,0,74.58
17,19.41,13.61,0,696.87,47.89,443,0,94.35
11,9.12,0.42,0,1073.72,5.19,443,1,88.37
12,55.56,15.19,0,661.1,1.13,22,0,91.56
12,28.27,23.86,1,845.77,17.23,80,0,74.15
8,24.81,40.99,0,1070.39,2.39,443,0,85.81
15,43.34,31.73,0,632.73,12.49,443,0,94.8
15,13.17,28.05,0,965.84,1.97,22,0,100.0
14,18.5,21.0,0,904.11,0.17,443,0,87.95
13,31.02,19.17,0,792.1,1.74,80,1,100.0
8,45.43,39.06,0,601.31,4.73,443,1,97.87
12,37.53,27.01,0,655.11,1.13,443,0,92.34
12,33.72,3.97,0,857.89,2.2,443,0,79.88
10,31.17,18.26,0,515.33,14.47,443,0,80.3
13,36.0,16.42,0,826.15,14.69,443,0,96.18
15,33.02,19.54,0,908.21,17.01,80,0,84.74
21,14.55,30.63,0,997.04,18.4,443,0,83.85
14,30.69,23.93,0,520.33,5.45,80,0,88.19
15,13.89,24.23,0,1063.25,20.22,443,0,88.36
13,31.22,38.13,0,1139.07,7.46,443,0,99.01
6,22.79,18.04,1,882.03,6.36,443,0,84.95
13,68.09,43.64,0,592.39,12.68,22,0,98.01
14,29.4,18.29,0,734.38,2.41,443,0,94.4
23,8.94,25.89,0,790.48,15.58,443,0,73.26
13,27.99,22.19,0,854.09,5.61,8080,0,92.95
15,37.79,26.23,0,804.4,1.36,443,0,63.32
13,55.1,29.45,0,856.23,1.27,80,0,81.05
9,21.16,29.34,0,781.85,1.8,80,0,94.63
18,6.26,17.47,2,853.02,22.12,443,0,89.89
17,42.25,13.77,0,707.9,47.04,443,0,72.32
17,9.29,50.03,0,732.36,4.42,8080,0,78.81
10,23.46,20.16,0,684.79,3.46,443,0,63.91
19,26.14,31.99,0,1183.45,2.47,443,0,76.57
8,28.96,8.92,0,1092.78,17.36,443,0,95.79
16,40.34,22.2,0,911.06,2.35,443,0,84.43
22,19.75,23.73,0,1065.06,25.78,80,0,91.7
10,25.89,29.73,0,959.69,11.01,22,0,90.14
11,29.79,2.22,0,836.25,22.74,22,0,90.33
14,32.24,26.66,0,498.89,8.07,22,0,100.0
11,31.47,13.5,0,747.57,11.73,443,0,87.97
7,36.54,28.24,0,732.99,9.66,80,0,99.11
14,42.66,14.64,0,573.38,17.79,443,0,65.23
9,35.89,16.45,0,502.77,18.07,443,0,100.0
15,36.8,22.26,2,898.54,8.91,80,0,77.1
10,6.27,14.48,0,864.9,10.01,443,0,79.27
20,30.75,20.24,0,566.52,25.49,22,0,82.95
10,37.19,13.07,1,650.82,26.57,443,0,100.0
12,40.93,6.67,0,1032.24,10.91,80,0,81.11
17,19.61,35.18,2,624.46,0.08,443,1,83.44
9,20.11,12.04,0,834.16,1.1,443,0,80.38
14,21.39,23.21,0,762.04,19.52,443,0,92.55
19,38.05,32.53,0,901.27,0.89,443,0,97.44
7,45.51,18.85,0,628.78,2.4,443,0,100.0
14,23.89,16.75,0,818.02,2.62,22,1,100.0
15,43.62,27.26,0,833.74,9.17,443,0,96.5
17,31.85,36.18,0,846.04,8.6,443,0,93.66
9,28.14,13.31,0,815.81,3.42,443,0,77.83
8,26.83,23.5,0,868.92,2.33,443,0,100.0
